Long15,Long30,LongDCA
0.001551163,0.001551163,0.00222517
0.008870811,0.008870811,0.009548236
0.000558269,0.000558269,0.001223758
-0.001952839,-0.001952839,-0.001289831
-0.008246037,-0.008246037,-0.00758636
0.002395688,0.002395688,0.003067541
-0.006888767,-0.006888767,-0.006225173
-0.013873089,-0.013873089,-0.013210034
-0.007751952,-0.007751952,-0.00707585
0.000434013,0.000434013,0.001120551
-0.002747693,-0.002747693,-0.002064105
0.005945534,0.005945534,0.006636507
0.00345968,0.00345968,0.004144402
-0.002011205,-0.002011205,-0.001333027
-0.005757895,-0.005757895,-0.005081361
-0.010858549,-0.010858549,-0.010182048
0.001024576,0.001024576,0.001716246
0.005263942,0.005263942,0.005957352
0.000872698,0.000872698,0.001558991
-0.007556998,-0.007556998,-0.006877545
0.001610792,0.001610792,0.00230127
-0.000731053,-0.000731053,-4.38E-05
-0.003218742,-0.003218742,-0.002533141
-0.003375826,-0.003375826,-0.002688592
0.003976377,0.003976377,0.004670547
0.009828341,0.009828341,0.010523312
0.006101192,0.006101192,0.006786386
0.007941034,0.007941034,0.008622854
0.001002707,0.001002707,0.001674046
0.001144848,0.001144848,0.00181516
0.006575172,0.006575172,0.007247898
0.002272139,0.002272139,0.002937169
-0.001416818,-0.001416818,-0.000756175
-0.000283825,-0.000283825,0.000378067
-0.000141953,-0.000141953,0.000519783
-0.00042582,-0.00042582,0.000235385
0.004544164,0.004544164,0.0052085
-0.002120469,-0.002120469,-0.00146396
-0.002549823,-0.002549823,-0.001892634
0.003550632,0.003550632,0.004213094
-0.004811831,-0.004811831,-0.004157646
-0.002275256,-0.002275256,-0.001616665
-0.005701282,-0.005701282,-0.00504389
0.001863489,0.001863489,0.002529241
0.001001574,0.001001574,0.001665075
0.003430503,0.003430503,0.004094508
-0.000569701,-0.000569701,8.90E-05
-0.002137999,-0.002137999,-0.001480429
-0.003285288,-0.003285288,-0.002627501
-0.001289725,-0.001289725,-0.000628884
0.00717463,0.00717463,0.007841491
0.003276763,0.003276763,0.003935874
-0.000283953,-0.000283953,0.000370244
0.002840852,0.002840852,0.003496851
0.00439102,0.00439102,0.005045744
0.002115273,0.002115273,0.002765234
-0.001688658,-0.001688658,-0.001042949
-0.001268734,-0.001268734,-0.00062208
-0.002681637,-0.002681637,-0.002035496
-0.00212287,-0.00212287,-0.001475048
-0.001560062,-0.001560062,-0.000910918
0.000710156,0.000710156,0.00136137
-0.007948872,-0.007948872,-0.00730417
-0.002718586,-0.002718586,-0.002065717
0.004878106,0.004878106,0.00553731
-0.000428312,-0.000428312,0.0002238
-0.006570475,-0.006570475,-0.005922516
-0.002588066,-0.002588066,-0.001933633
-0.008072726,-0.008072726,-0.00742063
-0.004650487,-0.004650487,-0.00399125
0.00613237,0.00613237,0.006801419
-0.001015934,-0.001015934,-0.000356126
-0.007698984,-0.007698984,-0.007043356
0.003659786,0.003659786,0.004327623
-0.002187777,-0.002187777,-0.001526693
-0.007455079,-0.007455079,-0.006796479
0,0,0.000668088
-0.004418321,-0.004418321,-0.003753629
0.004437929,0.004437929,0.00511106
0.005449116,0.005449116,0.006119499
0.004687257,0.004687257,0.005353057
-0.000874719,-0.000874719,-0.000216131
-0.00102145,-0.00102145,-0.000362816
-0.010955303,-0.010955303,-0.010302981
-0.009747393,-0.009747393,-0.009087476
-0.011185682,-0.011185682,-0.01052068
-0.015988008,-0.015988008,-0.0153192
0.007050874,0.007050874,0.00774599
0.004414018,0.004414018,0.005101986
0.008183073,0.008183073,0.008870117
-0.004358951,-0.004358951,-0.00368642
-0.003321271,-0.003321271,-0.002645548
-0.012874872,-0.012874872,-0.012203851
-0.013963419,-0.013963419,-0.013284857
-0.010737659,-0.010737659,-0.010047711
-0.014472204,-0.014472204,-0.013777884
0.007182697,0.007182697,0.007902186
0.018859002,0.018859002,0.019581126
-0.000311153,-0.000311153,0.000383777
-0.005290136,-0.005290136,-0.004598933
-0.001720632,-0.001720632,-0.001023744
-0.003603886,-0.003603886,-0.0029076
-0.019657179,-0.019657179,-0.018970113
0.29975339,-0.019730494,-0.019030195
-0.00801836,-0.00801836,-0.007295946
-0.018970604,-0.018970604,-0.018250915
-0.066756363,-0.066756363,-0.066059003
0.046486523,0.046486523,0.047323814
